#space dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)	#space dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries	#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case	#          2) English words are converted to lower case
#          3) Added category as 'noun' by default	#          3) Added category as 'noun' by default
###############################################################################	###############################################################################
chaos-assisted_noun	aswavyaswawA-_sahAyiwa/avyavasWA-sahAyiwa
chaos_noun	keoYsa/avyavasWA/aswavyaswawA
chaotic_noun	aswavyaswa/avyavasWiwa/keoYtika
char_noun	JulasanA/JulasAnA
character_noun	lakRaNa_guNa/samprawIka
characteristic_noun	aBilakRaNa/lakRaNa/viSeRawA/aBilakRaNika_kakRa/aBilakRaNika_recana
characterization_noun	aBilakRaNana
characterize_noun	aBilakRaNa_varNana
characterized_noun	aBilakRaNa_varNiwa
charactron_noun	kErektrAna
charge_noun	AveSa/cArja/BaraNa
charging_noun	AveSana
charring_noun	Julasana/afgAraNa
chart_noun	cArta/saciwra
chase_noun	cesa
check_noun	parIkRaNa/padawAla/jAzca
chemical_noun	rAsAyanika
chemisorption_noun	rasoSoRaNa
chemistry_noun	rasAyana/SAswra/vijFAna
chevron_noun	paxaPIwI
chimney_noun	cimanI
chip_noun	cipa/CIlana
chipping_noun	CIlanA
chirality_noun	iMgiwA/kAyarelitI
chlorine_noun	klorIna
chlorophyll_noun	kloroPila
choke_noun	coka/avaruxXana
choking_noun	avaroXana
chondrite_noun	koYndrAita
chondrule_noun	koYndala
chopper_noun	Cinnaka/coYpara
chord_noun	jIvA/svara
chromatic_noun	varNika
chromatograph_noun	varNaleKa/krometogrAPa
chromatography_noun	varNaleKikI/krometogrAPI/varNaleKana_vijFAna/viBAjana_varNaleKikI
chromatron_noun	krometroYna
chromosphere_noun	kromosPLyara/varNa-maNdala
chromospheric_noun	varNamaNdalIya
chronological_noun	kAlakramika
