#electrical multi word dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)	#electrical multi word dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries	#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case	#          2) English words are converted to lower case
#          3) Added category as 'noun' by default	#          3) Added category as 'noun' by default
#          4) If last word is not punctuation then treated last word as head	#          4) If last word is not punctuation then treated last word as head
#             or else treated last but one word as head	#             or else treated last but one word as head
#################################################################################	#################################################################################
ad_valorem	mUlyAnusAra/yaWAmUlya#mUlyAnusAra/yaWAmUlya#noun#2#RM
adaptive_control_system	anukUlI_niyanwraNa_wanwra#anukUlI_niyanwraNa_wanwra#noun#3#RM
add_multiplexer	yojaka_maltIpleksara/yojaka_bahusafkewaka#yojaka_maltIpleksara/yojaka_bahusafkewaka#noun#2#RM
addition_and_alteration	parivarXana-parivarwana#parivarXana-parivarwana#noun#3#RM
additional_charge	awirikwa_praBAra#awirikwa_praBAra#noun#2#RM
additional_collection	awirikwa_vasUlI/awirikwa_safgraha#awirikwa_vasUlI/awirikwa_safgraha#noun#2#RM
additional_grant	awirikwa_anuxAna#awirikwa_anuxAna#noun#2#RM
additional_information	awirikwa_sUcanA#awirikwa_sUcanA#noun#2#RM
additional_manpower	awirikwa_janaSakwi#awirikwa_janaSakwi#noun#2#RM
additional_projects	awirikwa_pariyojanAeM#awirikwa_pariyojanAeM#noun#2#RM
adequate_publicity	paryApwa_pracAra#paryApwa_pracAra#noun#2#RM
adhesive_force	AsaFjaka_balaM#AsaFjaka_balaM#noun#2#RM
adjacent_channel	nikatavarwI_cEnala#nikatavarwI_cEnala#noun#2#RM
adjudicate_upon	aXinirNaya_karanA#aXinirNaya_karanA#noun#2#RM
adjustable_strut	samAyojya_teka/samAyojya_strata#samAyojya_teka/samAyojya_strata#noun#2#RM
adjustable_trestle	samAyojya_maFcikA#samAyojya_maFcikA#noun#2#RM
adjustable_weir	samAyojya_viyara#samAyojya_viyara#noun#2#RM
adjusting_winding	samAyojI_vAiMdiMga#samAyojI_vAiMdiMga#noun#2#RM
adjustment_of_over_payment	aXika_BugawAna_kA_samAyojana#aXika_BugawAna_kA_samAyojana#noun#4#RM
advance_,_spark	sPuliMga_agrawA/ciMgArI_agrawA#sPuliMga_agrawA/ciMgArI_agrawA#noun#3#RM
advance_starter	agrima_stArtara_(siganala)#agrima_stArtara_(siganala)#noun#2#RM
advance_tax	agrima_kara#agrima_kara#noun#2#RM
advance_to_suppliers	saplAyara/ApUrwikarwA_ko_peSagI#saplAyara/ApUrwikarwA_ko_peSagI#noun#3#RM
advanced_stage	unnawa_avasWA#unnawa_avasWA#noun#2#RM
advertised_tender	vijFApiwa_nivixA/vijFApiwa_tedaraM#vijFApiwa_nivixA/vijFApiwa_tedaraM#noun#2#RM
advertising_and_visual_publicityadvice_note	vijFApana_Ora_xqSya_pracAra_sUcanA_pawra/saFjFApana_pawra#vijFApana_Ora_xqSya_pracAra_sUcanA_pawra/saFjFApana_pawra#noun#5#RM
aerial_fuse	eriyala_PyUja#eriyala_PyUja#noun#2#RM
aerial_rope_way	havAI_rajju_mArga/eriyala_ropa_ve#havAI_rajju_mArga/eriyala_ropa_ve#noun#3#RM
aerial_survey	AkASIya_sarvakRaNa/havAIe_savekRarNa#AkASIya_sarvakRaNa/havAIe_savekRarNa#noun#2#RM
aerofoil_profile	vAyupawraka_proPAila#vAyupawraka_proPAila#noun#2#RM
affirmative_action	sakArAwmaka_kriyA#sakArAwmaka_kriyA#noun#2#RM
afflux_level	pravAha_swara#pravAha_swara#noun#2#RM
age_of_concrete	kafkrIta_-_Ayu#kafkrIta_-_Ayu#noun#3#RM
