##Added by Roja (25-05-12)	##Added by Roja (25-05-12)
##Science Compound Dictionary .	##Science CoMpound Dictionary .
##Extracted from 'Class10_Science_Index_NCERT_TextBook_HindiEdition.pdf'	##Extracted from 'Class10_Science_Index_NCERT_TextBook_HindiEdition.pdf'
#Science_word	Hindi_word_in_wx
############################################################################	############################################################################
Impact	samAGAwa
Impurity	apaxravya
Incident_ray	Apawiwa_kiraNa
Incubation	URmAyana
Indicator	sUcaka
Indigestion	apaca
Individual	vyaRti
Inert	akriya
Inert_gas	akriya_gEsa
Inexhaustible	akRaya
Ingredient	safGataka
Inheritance	vaMSAgawi
Inherited_traits	vaMSAgawa_lakRaNa
Inherit	vaMSAgawa
Insoluble	avileya
Insulation	URmAroXana/vixyuwa_roXana
Insulator	vixyuwaroXI
Interdependent	anyonyASriwa
Interface	anwarApqRTa
Interference	niRkarRa
Intestine_juice	Azwra_rasa
Intestine	kRuxrAnwa
Iodine	AyodIna
Iris	pariwArikA
Irritation	jalana
Isotopes	samasWAnika
Joint	sanXi
Kidney	vqkka
Larynx	kaNTa
Lateral_inversion	pArSrva_parivarwana
Least_distance_of_distinct_vision	suspaRta_xarSana_kI_alpawama_xUrI
Lemon_juice	nIMbU_kA_rasa
Lens	leMsa
Life_process	jEva-prakama
Light_sensitive_cell	prakASa_sugrAhI_koSikA
Lithium	lIWiyama
Liver	yakqwa
Live_wire	vixyunmaya_wAra
Longitudinal	anuxErGya
Loop	pASa
Lungs	PuPPusa
Lymph	lasIkA
Magnetic_compass	xiksUcaka_yanwra
Magnetic_field_lines	cumbakIya_kRewra_reKAez
Magnetic_needle	xiksUcI
Magnetic_Resonance_Imaging(MRI)	cumbakIya_anunAxa_prawibiMbana
Magnetisation	cumbakana
Magnified	AvarXiwa
Maintenance	anurakRaNa
Malfunction	kusafkriyA
Malleability	AGAwavarXyawA
Management	prabanXana
MendellWaUev	meMdelIPa
Meningitis	maswiRkAvaraNa_SoWa/wanikA
Metallic	XAwvika
Micelles	misela
Micro-evolution	sUkRma-vikAsa
Micro_organism	sUkRma_jIva
Midbrain	maXya-maswiRka
Milk_of_magnesia	milka_oYPa_mEgniSiyA
Mineral	Kanija
Mirror	xarpaNa
Moisture	Arxra
Molasses	molesasa/sIrA
Monoculture	ekala_kqRi
Most_probable_number(MPN)	sArvaprAyika_safKyA
Multicellular	bahukoSika
Multiple_fission	bahuKaNdana
Myopia	xUraxqRti
Natural_selection	prAkqwika_cayana
Near_point	nikata_biMxu
Neon	nioYna
Nephron	vqkkANu
Nerve_impulse	wanwrikA_Avega
Nerve	wanwrikA
Neutralisation	uxAsInIkaraNa
Neutral_wire	uxAsIna_wAra
Niche	nikewa
Nickel	nikela
Noble_gas	uwkqRta_gEsa
Non-Corrosive_base	asafkRAraka_kRAraka
Non-metalic	aXAwvika
Non-renewable	anavIkaraNIya
Nozzle	waNdu
Nuclear	nABikIya
Nuclear_reactor	nABikIya_riektara
Nutrition	poRaNa
Object	biMba
Observation	prekRaNa
Ocean_thermal_Energy	mahAsAgarIya_wApIya_UrjA
Octave	aRtaka
Octet	aRtaka
Oesophagus	grAsikA
Olfactory	ganXIya
Opaque	apAraxarSI
Optical	prakASika
Optic_nerve	cakRuka_wanwrikA/xqk_wanwrikA
Optics	prakASikI
Ore	ayaska
Organisation	safgaTana
Organism	jIva
Osmosis	parAsaraNa
Ovary	aNdASaya
Over_loading	awi_BAraNa
Oviduct	aNdavAhinI
Ovule	bIjANda
Oxidation	AksIkaraNa/upacayana
Pancreas	agnyASaya
Parallel_combination	pArSrva_saMyojana
Parameter	prAcala
Penis	SiSna
Periodic	Avarwa
Periodic_law	Avarwa_niyama
Petal	pafKudI
Phenomenon	pariGatanA
Photosynthesis	prakASasaMSleRaNa
Plug_key	plaga_kuFjI
Pole	Xruva
Pollen_grain	parAga_kaNa
Pollination	parAgaNa
Polluted	sanxURiwa
Population	samaRti
Potassium	potESiyama
Potential_difference	viBavAnwara
Power_of_accommodation	samaFjana_kRamawA
Power_of_lens	leMsa_kI_kRamawA
Precipitate	avakRepa
Precipitation_reaction	avakRepaNa_aBikriyA
Prefix	anulagna
Presbyopia	jarA_xUra_xqRtiwA
Principal_axis	muKya_akRa
Principal_focus	muKya_Pokasa
Process	prakrama
Producers	uwpAxaka
