#it multi word dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)	#it multi word dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries	#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case	#          2) English words are converted to lower case
#          3) Added category as 'noun' by default	#          3) Added category as 'noun' by default
#          4) If last word is not punctuation then treated last word as head	#          4) If last word is not punctuation then treated last word as head
#             or else treated last but one word as head	#             or else treated last but one word as head
#################################################################################	#################################################################################
address_pointer	pawA_safkewaka#pawA_safkewaka#noun#2#RM
address_register	pawA_paFjI#pawA_paFjI#noun#2#RM
address_resolution	pawA_viGatana#pawA_viGatana#noun#2#RM
address_resolution_protocol	pawA_viGatana_protokoYla#pawA_viGatana_protokoYla#noun#3#RM
address_signal	pawA_safkewa#pawA_safkewa#noun#2#RM
address_size	pawA_AmApa#pawA_AmApa#noun#2#RM
address_space	pawA_sWAna#pawA_sWAna#noun#2#RM
address_space_identifier	pawA_sWAna_aBijFApaka#pawA_sWAna_aBijFApaka#noun#3#RM
address_stop	pawA_virAma#pawA_virAma#noun#2#RM
address_strategy_module	pawA_yukwi_moYdayUla/pawA_praviXi_moYdyUla#pawA_yukwi_moYdayUla/pawA_praviXi_moYdyUla#noun#3#RM
address_trace	paricaya_anureKa/pawA_anureKa#paricaya_anureKa/pawA_anureKa#noun#2#RM
address_translation	pawA_anuvAxa#pawA_anuvAxa#noun#2#RM
address_translator	pawA_anuvAxaka#pawA_anuvAxaka#noun#2#RM
addressability_measure	pawAyogyawA_mApa#pawAyogyawA_mApa#noun#2#RM
addressable_horizontal_position	pawAyogya_kROwija_sWiwi#pawAyogya_kROwija_sWiwi#noun#3#RM
addressable_point	pawAyogya_biMxu#pawAyogya_biMxu#noun#2#RM
addressable_position	pawAyogya_sWiwi#pawAyogya_sWiwi#noun#2#RM
addressable_register	pawAyogya_paFjI#pawAyogya_paFjI#noun#2#RM
