usa_jagaha	vahAz/usa_jagaha
yaWecCa	icCAnusAra/icCAnukula/yaWecCa/yaWABIRta/yaWAvAFCiwa
niyamiwawaH	niyamiwawaH/niyama_se/niyamAnusAra/baxaswUra
kusamaya	kusamaya/galawa_vakwa_para/asamaya/bevakwa/galawa_vakwa_para/bevakwa/bemOke
PurwI_se	sPUrwipUrvaka/cuswI_se/PurwI_se/muswExI_se
upAyawaH	yukwipUrvaka/upAyawaH/upAya_se/jugawa_lagAkara/warakIba_se/warIke_se
iwWaM	yoM/yUz/Ese/isa_waraha/isa_prakAra/EsA/iwWaM/ima/imi/iBa/iva/isE/IxqS/IxqSa
avirAmawaH	lagAwAra/anavarawa/niranwara/niranwara/wAbadawoda/xanAxana/sawawa/XUAzXAra/ananwara/ananwara/avirAmawaH/aniSa/prawikRaNa/anukRaNa/XadAXada/avirawa/muwwasila/avicCinna/avicCexa/aviSrAnwa/aviSrAnwa/asarAra/aharaha/Asafga/Asafga/ikawAra
bIca-bIca_meM	samaya-samaya_para/bIca-bIca_meM
jIvanaparyanwa	Ajanma/jIvanaparyanwa/jIvanaBara
ATagunA	ATagunA/aTagunA
icCA_se	svecCApUrvaka/icCA_se/KuSI_KuSI/KuSI_se/svecCayA/svecCawaH
cahuz_ora	cAroM_ora/cAroM_waraPa/cAroM_waraPa/cahuz_ora/sarvawra/saBI_waraPa/cAroM_xiSAoM_meM/hara_jagaha/irxa-girxa
bAkAyaxA	viXipUrvaka/kAyaxe_se/Dafga_se/warIke_se/bawOra/bAkAyaxA/viXivaw/viXivawa
PalasvarUpa	PalasvarUpa/pariNAma_svarUpa/pariNAmasvarUpa/pariNAmawaH/PalawaH/nawIjawana
niyamAnusAra	niyamiwawaH/niyama_se/niyamAnusAra/baxaswUra/niyamAnusAra/yaWAniyama/bA-jAbwA
sABiprAyaH	uxxeSyapUrvaka/uxxeSyawaH/sABiprAyaH/soxxeSya
sanxigXawaH	aspaRtawaH/sanxigXawaH
wAbadawoda	lagAwAra/anavarawa/niranwara/niranwara/wAbadawoda/xanAxana/sawawa/XUAzXAra/ananwara/ananwara/avirAmawaH/aniSa/prawikRaNa/anukRaNa/XadAXada/avirawa/muwwasila/avicCinna/avicCexa/aviSrAnwa/aviSrAnwa/asarAra/aharaha/Asafga/Asafga/ikawAra
wIvra	kasakara/joraxAra/weja/weja/wIvra/wejI_se/jora_se/wejI_se/jora_se/wIvrawA_se
yukwipUrvaka	yukwipUrvaka/upAyawaH/upAya_se/jugawa_lagAkara/warakIba_se/warIke_se
aBI-aBI	aBI-aBI/aBI_aBI/aBI_hI/isI_vakwa/isI_kRaNa
Aswe	XIre/XIme/hOle/Ahiswe/AhiswA/Ahiswe_se/AhiswA_se/Asawe/Aswe
jora_se	kasakara/joraxAra/weja/weja/wIvra/wejI_se/jora_se/wejI_se/jora_se/wIvrawA_se
avaSyameva	niHsanxeha/nissanxeha/jarUra/jarUra/niHsanxeha/nissanxeha/nisanxeha/nisanxeha/binA_Saka/beSaka/bilkula/bilakula/yakInana/yakInana/avaSyameva/avaSya/alabawwA/bilASaka/aBarama/vASiMxA/bASiMxA/avasi/aviwarkika/asaMSaya/niSciwawaH/ikafka
isE	yoM/yUz/Ese/isa_waraha/isa_prakAra/EsA/iwWaM/ima/imi/iBa/iva/isE/IxqS/IxqSa
navagunA	nOgunA/navagunA
